停留所コード,停留所名,緯度,経度
610,市民ホールつつじ前（本山前）（北）,35.946499,136.184586
611,西鯖江駅前（北）,35.946899,136.182724
612,嚮陽会館（北）,35.947197,136.179916
613,鯖江中学校（東）,35.951622,136.176102
614,小黒町（東）,35.955364,136.175903
615,冬島（東）,35.95396,136.147263
616,JR鯖江駅（２番のりば）,35.943443,136.187912
617,柳町１丁目（北）,35.946483,136.189892
618,柳町３丁目（北）,35.946596,136.191909
619,体育館北（北）,35.946714,136.19854
620,横越西（北）,35.946423,136.202386
621,横越（北）,35.946227,136.205009
622,新町,35.940707,136.207354
623,下新庄公民館,35.935417,136.209907
624,鯖江東小学校（いきいき未来館）（南）,35.9388,136.198272
625,体育館西（西）,35.944308,136.196372
626,上河端口,35.9534,136.200607
627,上河端,35.954453,136.202576
628,曲木,35.954773,136.20639
629,桜あふれるまち中河　中河小学校前（北）,35.954796,136.209061
630,樋口（北）,35.953369,136.210693
631,中野町松成,35.955505,136.221222
632,松成,35.956814,136.224243
633,落井口,35.954208,136.229935
634,あじさいのまち北中山　北中山公民館（北）,35.952285,136.238194
635,磯部口（北）,35.952354,136.241135
636,磯部（北）,35.958954,136.239853
637,中戸口,35.959641,136.247869
638,上戸口,35.969692,136.252777
639,上戸口北,35.972511,136.254852
640,JR鯖江駅（１番のりば）,35.943314,136.188171
641,柳町１丁目（南）,35.946366,136.190305
642,柳町３丁目（南）,35.94644,136.191813
643,体育館北（南）,35.946583,136.198508
644,横越西（南）,35.946323,136.202429
645,横越（南）,35.946101,136.204977
646,鯖江東小学校（いきいき未来館）（北）,35.938922,136.198057
647,体育館西（東）,35.944312,136.196507
648,桜あふれるまち中河　中河小学校前（南）,35.954723,136.209061
649,樋口（南）,35.953262,136.210693
650,あじさいのまち北中山　北中山公民館（南）,35.952125,136.238204
651,磯部口（南）,35.952282,136.240997
652,磯部（南）,35.95882,136.239838
658,JR鯖江駅（２番のりば）,35.943451,136.187912
659,柳町１丁目（北）,35.94648,136.190048
660,柳町３丁目（北）,35.946571,136.191895
661,体育館北（北）,35.946686,136.197815
662,横越西（北）,35.946407,136.202377
663,横越（北）,35.946209,136.205002
